"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"LisaAppel","https://www.tripadvisor.com/Profile/LisaAppel","https://media-cdn.tripadvisor.com/media/photo-s/08/67/e3/04/lisaappel.jpg","Indianapolis, Indiana","5","","Whale watching","Great experience. Wonderful pilot. Beautiful views. He went out of his way to make sure we saw everything that we wanted to see and always made sure we were doing OK. ","","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/8c/41/a1/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/8c/41/a0/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/8c/41/9f/caption.jpg","Written January 12, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"bill m","https://www.tripadvisor.com/Profile/billmC5215HA","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg","","5","Jan 2025 • Family","Big Fun","Super fun, Eric was great. Learned a lot. Definitely recommend. Good for all ages. Great views only from the air. Spotted some humpback whales.","Family","0","https://media-cdn.tripadvisor.com/media/photo-w/2e/8a/b6/2c/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2e/8a/b6/2b/caption.jpg","Written January 11, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"G F","https://www.tripadvisor.com/Profile/I8265WNgf","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg","","5","Jan 2025 • Family","Outrageous Fun!","Views amazing flight fun family memory and really exciting.  Thought it was well worth it. Really glad we did it. Really fun","Family","0","","Written January 11, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"sara m","https://www.tripadvisor.com/Profile/A6518VJsaram","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg","","5","Jan 2025 • Family","Great time","We had so much fun! The views were so beautiful and had a great driver. He was very insightful and had a great attitude. Very fun!","Family","0","","Written January 11, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"J L","https://www.tripadvisor.com/Profile/jlI5924WU","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg","","5","Jan 2025 • Couples","Breathtaking","Amazing flight. Highly recommend if you are going to visit the islands. Once in a lifetime experience. Pilot was great.","Couples","0","","Written January 11, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Kavya S","https://www.tripadvisor.com/Profile/kavyas2025","","","5","Jan 2025 • Family","Splendid","Our host was welcoming and friendly. The pilot did a great job. This was an amazing experience and it’s a must visit. Don’t miss this :)","Family","0","","Written January 7, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"oviya s","https://www.tripadvisor.com/Profile/oviyas2025","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg","","5","Jan 2025 • Family","Bird’s eye hawaii","BEAUTIFUL. Amazing job by the pilot and great views. Loved the crater and saw the beautiful cliffs. Jurassic world is something I love and I witnessed it. DONT MISS IT","Family","0","","Written January 7, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Santhakumar C","https://www.tripadvisor.com/Profile/santhakumarc2016","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg","","5","Jan 2025 • Family","Must do!","the pilot was friendly and professional and explained the route. I saw colors and whales and the experience was amazong","Family","0","","Written January 7, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"128suntravel","https://www.tripadvisor.com/Profile/128suntravel","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg","","5","Jan 2025 • Couples","Floating Comfort","This wad excellent flight with our pilot who was excellent. We had a lot if fun. We saw the Crater and some whales and we circled as needed. Really comfortable.","Couples","0","","Written January 6, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Linda c","https://www.tripadvisor.com/Profile/lindacM4054VM","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg","","5","Jan 2025 • Couples","Spectacular","The flight was an amazing experience start to finish- congenial knowledgeable pilot, incredible sights with great commentary and he took amazing care of our every need. Would recommend unreservedly!","Couples","0","","Written January 6, 2025","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
