word,count,mean_rating,mean_polarity,category
unbelievable,349,4.982808022922636,0.8893593123209168,CATE
delicious,35,5.0,0.9679914285714287,JOY
bear,217,4.861751152073733,0.8856806451612903,ANGER
chance,449,4.855233853006681,0.8974755011135858,SURPRISE
mother,139,4.83453237410072,0.8582769784172661,ANTICIPATION
hospitality,63,4.984126984126984,0.9579714285714284,CATE
case,195,4.764102564102564,0.9024779487179487,FEAR
difficult,112,4.598214285714286,0.8340223214285716,FEAR
solid,37,4.891891891891892,0.9344864864864865,CATE
actual,126,4.634920634920635,0.8531492063492063,CATE
cover,205,4.829268292682927,0.8922634146341464,TRUST
reserve,29,4.724137931034483,0.9652620689655173,CATE
green,118,4.813559322033898,0.8921025423728813,JOY
wilderness,54,4.962962962962963,0.8934574074074073,ANTICIPATION
pick,371,4.7466307277628035,0.8872754716981133,CATE
organized,219,4.863013698630137,0.8877904109589041,CATE
baby,42,4.738095238095238,0.800797619047619,JOY
daughter,359,4.888579387186629,0.9067164345403899,JOY
learn,100,4.85,0.8895369999999998,CATE
favorite,344,4.968023255813954,0.9317174418604651,JOY
lower,130,4.7,0.8555215384615384,SADNESS
interior,66,4.757575757575758,0.8447060606060605,DISGUST
deal,263,4.828897338403042,0.9079703422053232,ANTICIPATION
minimum,28,4.392857142857143,0.7972500000000001,CATE
reliable,41,4.560975609756097,0.7996756097560976,TRUST
hesitation,69,4.869565217391305,0.9240826086956522,FEAR
august,110,4.763636363636364,0.8565681818181818,CATE
blue,309,4.899676375404531,0.9242702265372169,SADNESS
strut,17,4.764705882352941,0.9024176470588235,CATE
standing,128,4.7109375,0.88528359375,CATE
agree,72,4.944444444444445,0.9413666666666667,CATE
father,72,4.791666666666667,0.9192027777777779,TRUST
overcast,110,4.745454545454545,0.8821863636363636,CATE
chatty,29,4.896551724137931,0.9557482758620689,CATE
motion,457,4.903719912472647,0.8833592997811817,ANTICIPATION
clouded,23,4.565217391304348,0.8831347826086957,SADNESS
magnificent,320,4.95625,0.928435625,ANTICIPATION
offer,306,4.751633986928105,0.9073300653594772,CATE
cooperate,69,4.913043478260869,0.8507579710144928,CATE
organization,71,4.915492957746479,0.8963845070422536,ANTICIPATION
cross,37,4.837837837837838,0.8675594594594594,ANGER
agreed,95,4.757894736842105,0.8954873684210526,TRUST
rating,68,4.279411764705882,0.8391367647058823,ANGER
honesty,18,4.555555555555555,0.8647166666666667,TRUST
focus,55,4.745454545454545,0.9455181818181817,CATE
giving,317,4.788643533123029,0.9187763406940063,CATE
operation,313,4.94888178913738,0.91105303514377,FEAR
