phrase,total_mentions,review_count,review_percentage
amazing experience amazing,56,56,0.25
pilot knowledgeable friendly,56,56,0.25
felt completely safe,56,56,0.25
did fantastic job,56,55,0.25
kauai air ventures,56,55,0.25
gave great tour,55,55,0.25
experience worth penny,54,54,0.24
experience glacier landing,54,52,0.23
trip glacier landing,54,54,0.24
experience great experience,54,54,0.24
excellent customer service,53,52,0.23
45 minute flight,53,53,0.24
say good things,52,52,0.23
tour misty fjords,52,49,0.22
wings kauai tour,52,52,0.23
seeing kauai air,51,50,0.22
recommend k2 aviation,51,51,0.23
overall great experience,51,51,0.23
time highly recommend,51,51,0.23
definitely worth money,50,50,0.22
aerial tour kauai,50,46,0.21
did wonderful job,50,50,0.22
took grand denali,50,50,0.22
did amazing job,50,50,0.22
highlight trip kauai,50,50,0.22
amazing experience pilot,49,49,0.22
du grand canyon,49,42,0.19
glacier landing pilot,49,49,0.22
visit grand canyon,49,45,0.2
san juan islands,49,44,0.2
experience start finish,49,49,0.22
air ventures kauai,48,46,0.21
pilot highly recommend,48,48,0.22
great pilot great,48,48,0.22
did grand denali,48,48,0.22
flight great pilot,47,47,0.21
ride grand canyon,47,47,0.21
year old daughter,47,47,0.21
tour air ventures,47,43,0.19
friday harbor seaplanes,47,39,0.18
went way make,47,47,0.21
seeing grand canyon,47,45,0.2
way entire island,46,44,0.2
highly recommend doing,46,46,0.21
glacier landing highlight,46,46,0.21
grand canyon pilot,46,45,0.2
glacier landing experience,45,43,0.19
gets window seat,45,45,0.2
great experience pilot,45,45,0.2
views highly recommend,45,45,0.2
beautiful clear day,45,45,0.2
couldn asked better,45,45,0.2
family run business,45,44,0.2
got fly plane,45,45,0.2
recommend glacier landing,45,45,0.2
pilot gave great,45,45,0.2
experience wings kauai,44,44,0.2
pilot friendly informative,44,44,0.2
highly recommend excursion,44,44,0.2
flight mt mckinley,44,39,0.18
views amazing pilot,43,43,0.19
helicopter tour grand,43,42,0.19
denali landing glacier,43,43,0.19
chose wings kauai,43,42,0.19
great value money,43,43,0.19
glacier landing great,43,43,0.19
glacier landing k2,43,41,0.18
fixed wing aircraft,43,38,0.17
grand canyon amazing,43,43,0.19
experience talkeetna air,42,41,0.18
10 10 recommend,42,39,0.18
na pali coastline,42,40,0.18
flight misty fjords,42,42,0.19
glacier landing awesome,42,42,0.19
absolutely amazing experience,41,41,0.18
pali coast waimea,41,41,0.18
tour guide pilot,41,41,0.18
great sense humor,41,40,0.18
sides plane got,41,41,0.18
flight great experience,41,41,0.18
great views great,40,39,0.18
flight smooth pilot,40,40,0.18
dream come true,40,39,0.18
plane ride smooth,40,40,0.18
pilot knowledgeable island,40,40,0.18
experience life time,40,38,0.17
denali flight glacier,40,40,0.18
best way experience,40,39,0.18
air tour island,40,40,0.18
great pilot guide,39,39,0.18
best air tour,39,37,0.17
san francisco bay,39,35,0.16
glacier landing trip,39,39,0.18
le grand canyon,39,34,0.15
landing highly recommend,39,39,0.18
canyon napali coast,39,39,0.18
grand canyon flight,39,38,0.17
miami seaplane tours,38,29,0.13
pilot great tour,38,38,0.17
flight talkeetna air,38,37,0.17
amazing experience great,38,38,0.17
great time pilot,38,38,0.17
columbia river gorge,38,34,0.15
denali surrounding mountains,38,38,0.17
grand canyon airlines,38,32,0.14
grand canyon experience,38,36,0.16
land ruth glacier,38,36,0.16
wow wow wow,38,29,0.13
highly recommend adventure,38,38,0.17
westwind air service,37,34,0.15
45 minute tour,37,36,0.16
way kauai air,37,37,0.17
excellent tour guide,37,37,0.17
glacier landing incredible,37,37,0.17
visiting grand canyon,37,37,0.17
flight denali glacier,37,37,0.17
better helicopter tour,36,36,0.16
got great pictures,36,36,0.16
bruce wings kauai,36,35,0.16
highly recommend visiting,36,36,0.16
wings kauai flight,36,35,0.16
bucket list experience,36,35,0.16
air ventures tour,36,35,0.16
flightseeing glacier landing,36,34,0.15
grand canyon trip,36,35,0.16
time small plane,36,35,0.16
way island kauai,36,35,0.16
took great care,36,36,0.16
grand denali glacier,36,36,0.16
views waimea canyon,36,36,0.16
helicopter ride canyon,35,33,0.15
family owned business,35,35,0.16
friendly helpful pilot,35,35,0.16
half cost helicopter,35,35,0.16
got great views,35,35,0.16
way beautiful island,35,34,0.15
thank talkeetna air,35,35,0.16
staff super friendly,35,35,0.16
awesome experience great,35,35,0.16
pilot super friendly,35,35,0.16
flying grand canyon,35,34,0.15
amazing amazing experience,35,35,0.16
grand canyon national,34,31,0.14
felt safe entire,34,34,0.15
land glacier weather,34,34,0.15
views great pilot,34,34,0.15
staff friendly professional,34,34,0.15
great job explaining,34,34,0.15
felt safe time,34,34,0.15
amazing experience eric,34,34,0.15
wings kauai best,34,34,0.15
views denali surrounding,34,34,0.15
glacier landing talkeetna,34,34,0.15
views breath taking,34,34,0.15
truly lifetime experience,34,34,0.15
eric great pilot,34,34,0.15
tour talkeetna air,34,33,0.15
pilot knowledgeable area,33,33,0.15
canyon river adventure,33,23,0.1
flight amazing views,33,33,0.15
highly highly recommend,33,33,0.15
highlight alaska vacation,33,32,0.14
views spectacular pilot,33,33,0.15
flight landing glacier,33,33,0.15
glacier landing highly,33,33,0.15
views glacier landing,33,33,0.15
